,file,artist,title,lyrics
1781,TRABXGB128F9305C59.h5,S. Solis y Orquesta,La Vida En Rosa,
1782,TRAGKKN12903CE6B5C.h5,Barley Bree,Flight Of Earls,
1783,TRAWYLO128F9315681.h5,Varios,Cuerda viva,
1784,TRAJAGW128EF3664E1.h5,Jazzy B,Soorma,
1785,TRASKLF128F42946DE.h5,Stefon Harris,Alovi,
1786,TRAZNQI12903C9F8FC.h5,Unwritten Law,Up All Night (Acoustic Live Album Version),"Up All Night
Can we talk about automatic satisfaction
Sittin' back relaxin' floored
What's wrong with kickin it
When you're bored and lit
Lets smoke some cigarettes
And catch up on the back porch
Fire up another roach
And we don't need a rest this is just a test
'Cause we're all right, we're up all night
To see the sun come up again now
Just one more time no reason why
To see the sun come up again.

The more we try to change
The more we stay the same
We're caught up in the game and now
It's like empty picture frames
So now we're to blame
Said we were gettin' down, on Genesee and Fountain
Smoke another mountain out
If you ain't gettin' down, then you'll come around
Yeah yeah yeah

And were all right, we're up all night
To see the sun come up again now
Just one more time, no reason why
To see the sun come up again.

So lets smoke some cigarettes
And catch up on the back porch
Fire up another roach
And we don't need a rest, it's just a test
And as the world spins we'll watch it with a grin
And look in as the day begins
Well now it's on again, it's dawn again. Yeah! Yeah!
And we're all right
We're up all night
To see the sun come up again now
Just one more time, no reason why
To see the sun come up again
Yeah we're all right, we're all right
We're all right, up all night
Yeah we're all right, we're all right
To see the sun come up again now!"
1787,TRAKZRX128F931418B.h5,Carl Doy,Wave,
1788,TRAUVSF128F14A0B6F.h5,ATB,Collides With Beauty,"I'm upside down 
And inside out
The room's not big enough
I'm waiting for your love
Been waiting for you love

Gone round and round
Half falling down
The floor's not flat enough
I'm waiting for your love
Been waiting for you love

And I know
You know
It should be me 
That's holding you
And I know that
Pride collides with beauty

I'm back and forth
And forth and back
The window's fogging up
I'm waiting for your love
Been waiting for you love

It's too much 
It's not enough
The walls can't hold me up
I'm waiting for your love
Been waiting for you love

And I know
You know
It should be me 
That's loving you
And I know that
Pride collides with beauty"
1789,TRAGSZA128F146A11A.h5,Bryan Ferry,Don't Worry Baby (1999 Digital Remaster),"Well it's been building up inside me for
I don't know how long
I don't know why
But I keep thinking
Something's bound to go wrong
But she looks in my eyes
And makes me realise
When she says ""Don't worry baby""
Don't worry baby
Everything will turn out all right
Don't worry baby
Each morning I awake to find the sunlight
Softly shining on her hair
And then I realise I'm wrong in thinking
That she really doesn't care
There's magic in her eyes
That makes me come alive
When she says ""Don't worry baby""
Don't worry baby
Everything will turn out alright
Don't worry baby
She tells me ""Baby when you leave today just
Take along my love with you
And if you knew how much I loved you baby
Nothing could go wrong for you""
What she does to me
When she makes love to me
And she says ""Don't worry baby""
Everything will turn out alright
Don't worry baby"
1790,TRAOEFX128F4241203.h5,Non Phixion,Sleepwalkers,
1791,TRAEVLO128F933DE9E.h5,Fiona,No More Lonely Nights,
1792,TRAKNJM128F9310D67.h5,Scalplock,Protagonist (Album Version),
1793,TRAWCXJ128F426F2B5.h5,Johnny Osbourne,Mr. Marshall,
1794,TRADQUL128F93274F3.h5,Georges Delerue,Ouverture,
1795,TRADYJM128F427E05B.h5,Luis Alberto Spinetta,Verde Bosque,"Nena, tu cabeza va a estallar
nena, tu cabeza va a estallar

Hay un leve impacto
quiero ver
tu conciencia gris
si esta

Debajo del monte
hay un bosque verde
verde el bosque
nena yeah! 

Nena tu cabeza va a estallar
nena, tu cabeza va a estallar

Restos del diluvio pasan pronto
como un ínfimo
cristal

Sombras en el bosque
en tu alma nena
dulce tu alma es dulce
nena, Yeah! 

Y se que en el rastro del aire
la materia, nena
brilla, brilla siempre así

Nena, tu Dios es intimo
nena, tu Dios es intimo

Hay un leve impacto
quiere ver
tu conciencia gris
si esta

Debajo del monte
hay un bosque verde
verde el bosque
nena oh! 

Han vaciado el mundo
pronto nena llena el hueco
inventa un Dios."
1796,TRAMCRC128F42622C7.h5,POLINA,Tora,
1797,TRAVDNM128F9344090.h5,Gail Davies,Following You Around (Album Version),
1798,TRAXALK128F1462FF7.h5,John Berry,Ninety Miles An Hour,"(Hal Blair/Dan Robertson)

I took you home from a party and we kissed and burned
A few stolen kisses and no harm was done
Instead of stopping when we could we went right on
Till suddenly we found that the brakes were gone
Oh you belong to someone else and I do too
It's just crazy bein' here with you
Like a bad motorcycyle with the devil in the seat

Goin' ninety miles an hour down a dead end street
Goin' ninety miles an hour down a dead end street

I did not want to want you but now I have no choice
To late to listen to that whining voice
All I hear is thunder when two hearts beat

Goin' ninety miles an hour down a dead end street
Goin' ninety miles an hour down a dead end street

Oh you're not free to belong to me
And you know that I could never be your own
But your lips on mine
Oh, the sweet, sweet wine
What are we going to do

Warning signs are flashing everywhere we pay no heed
Instead of slowing down the pace we're picking up speed
Disaster's getting closer every time we meet

Goin' ninety miles an hour down a dead end street
Goin' ninety miles an hour down a dead end street

Goin' ninety miles an hour down a dead end street
Disaster's getting closer every time we meet"
1799,TRAAABD128F429CF47.h5,The Box Tops,Soul Deep,"Darling, I don't know much
But I know I love you so much
My life depends on your touch

And my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide 
And it can't be denied
My love is a river running soul deep

I'll work myself to death for you
Just to show I adore you
Nothing I wouldn't do for you

'Cause my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide 
And it can't be denied
My love is a river running soul deep

All I ever, ever hope to be
Depends on your love for me
Baby, believe me
If you should leave me
I'd be nothing but an empty shell
I know darn well, I can tell, now

I don't know much
But I know I love you so much
My life depends on your touch

And my love is a river running soul deep
Way down inside me, it's-a soul deep
It's too big to hide and it can't be denied
My love is a river running soul deep

My love is a river running soul deep
Way down inside me, it's-a soul deep
My love is a river running soul deep
Way down inside me, it's-a soul deep
Well, my love is a river running soul deep
Way down inside me, it's-a soul deep"
1800,TRAZJUH128F934465B.h5,Hanoi Rocks,Mental Beat,"The beat is getting stronger
I can't take it any longer
Every time I try to sleep I wake up to this beat inside of me

You can't ignore this beat
You have to get up on your dancing feet
You will have no time to eat 'cause the beat is so much stronger than you

I observe and I learn
Today I have been reversed
And it seems to me now like I'm the center of the universe

Hey! look at me!
People ask me if I am going insane
But I say it's just this missile in my vein
It comes on hard, there's no stop no start
And it kicks so strong, the kick goes on
Over and over till you can't belong,
It's an endless song
One, two, three, it goes on
Ooh, Mental Beat, Ooh, Mental Beat

Your hero is a zero
And you're just another weirdo
It comes on like a bomber, a long distance drummer
If you can't hear the beat you must be deaf

Hanoi Rocks has got the beat
Boy! they never seem to sleep!
And the only explanation is that there is no protection against the Mental Beat
So let's go!"
1801,TRAMSDM12903CAAB21.h5,Les Paul_ Mary Ford,Goofus,
1802,TRAXMDO128F9342A54.h5,Inhume,Process to decelerate,
1803,TRAEOMS128F4262357.h5,NOFX,My Heart Is Yearning,"For You
My Heart is yearning
And how
I've loved you so
Its because of you
My dick is burning
Its dripping
On my palm"
1804,TRAMQKM128F1474EEE.h5,El Gran Silencio,Ayer,
1805,TRAHCZO128F933EA9B.h5,Stan,Luv,
1806,TRAMEPV128F425DE26.h5,Babbie Mason,Who In the World (Album Version),"Who is the Lord
Of every rolling ocean wave
Who will stop at nothing
Loving those He came to save
Who is worshipped by a chorus
Filled with morning stars
And listens to the whispers
Of all the lonely hearts

Who is the world
Can birth creation just by speaking
Who but the Lord
Deserves our praises just by being
In all of Heaven and in Earth
Can we find another who is more worthy
Who is the world
Delivers us by interceding
Who gave His word
To bring salvation by believing
In all of Heaven and in Earth
Can we find another who is more worthy
Who in the world, who in the world

Would you believe
He separated sea from land
Yet stops to etch the fingerprints
Upon a baby's hand
Would you believe the mighty God
Who made the galaxy
Would condescend to be a friend
And love someone like me

Who is the world
Can birth creation just by speaking
Who but the Lord
Deserves our praises just by being
In all of Heaven and in Earth
Can we find another who is more worthy
Who is the world
Delivers us by interceding
Who gave His word
To bring salvation by believing
In all of Heaven and in Earth
Can we find another who is more worthy
Who in the world but Jesus
The Savior of the world

Who is the Lord over all creation
Jesus, Jesus is
Who is the King over every nation
Jesus, Jesus is
Who is the Rock of our salvation
Jesus, Jesus is
What is our reason for celebration
Jesus, Jesus lives

Who is the world
Can birth creation just by speaking
(Jesus, Jesus)
Who but the Lord
Deserves our praises just by being
In all of Heaven and in Earth
Can we find another who is more worthy
Who is the world
Delivers us by interceding
Who gave His word
To bring salvation by believing
(Jesus)
In all of Heaven and in Earth
Can we find another who is more worthy
Who in the world but Jesus
The Savior of the world"
1807,TRAXCVG12903CF523C.h5,Cama,Fade Away,
1808,TRAANTD128F9323B23.h5,Brixx,7 Miles,
1809,TRACMIU128F935381D.h5,Martin Sexton,Ice Cream Man,
1810,TRANUQO128F14991ED.h5,Juan Diego Flórez / Riccardo Frizza / Orchestra Sinfonica di Milano Giuseppe Verdi,Allegro io son,
1811,TRACBBI12903CB8387.h5,Gus Viseur,Fausse monnaie,
1812,TRAUCTG128F4241F69.h5,Dynamix,Bodyfly (Dynamix original version),"(Presents Inda Matrix)

(Written by Beppe Savoni Eddie Cumana)

Where are you tonight?
Now my mind is craving
Energy to fly through a darker side of love
(Never lets me fall)
Where are you tonight?
Are you still the one who brought me to the light?
There is nothing else to know
Now my words are gone

Make my bodyfly-fly bodyfly fly high
Make my bodyfly-fly bodyfly fly high
Make my bodyfly-fly reach for the sky-y-y (2)

Needing you tonight
As I am walking through the desert of your eyes
Let addiction be my rope to get away from here
Come to me tonight
Now my body is craving power to survive to make sorrow disappear and
Drift
In ecstasy

Make my bodyfly-fly bodyfly fly high
Make my bodyfly-fly bodyfly fly high
Make my bodyfly-fly reach for the sky-y -y (2)

Make my bodyfly-fly bodyfly, fly high
Make my bodyfly-fly bodyfly, fly high (8)

Hoo-yeah
Pick my body up
Take me up-fly-y-y-y
Pick my body up
Take me up
Pick my body up
Take me up
Fly highhhhher (4)
Make me take me take me take my body up
Take my body up
My body up (4)
Take my up

Yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah
Reach for the sky-y ñy
Make my bodyfly-fly bodyfly fly high
Make my bodyfly-fly bodyfly fly high
Make my bodyfly-fly reach for the sky-y -y (2)

Take my body up my my body up
Pick me up and make my bodyfly
(Adlibs)

Take me to the sky
(Lift me up)
Take me to the sky
(Fly high)
Take me to the sky (2)"
1813,TRAEOIC12903D05C54.h5,Willie Clancy,Air: My Lagan Love,
1814,TRALZFE128F931737D.h5,R. Carlos Nakai,Tibetan Turquoise (World),
1815,TRAQESC128F92D9527.h5,Jimmy Johnson,Country Preacher,
1816,TRANVGD12903CD9262.h5,Arika Kane,Here With Me,
1817,TRAYUWU128F423F66D.h5,Charley Patton,Mississippi Boweavil Blues,"It's a little boll weevil, see him movinin' a-in the, Lordy
""You can plant your cotton and you won't get a half a cent, Lordy""
Boll weevil, boll weevil, where's your native home, Lordy?
""A-Lou'siana raised in Texas is a-where I's bred and born, Lordy""

Well, I saw the boll weevil, Lord, a circle, Lordy, in the air, Lordy
A-next time I seed him, Lord, he had his family there, Lordy
Boll weevil left Texas, Lord, he bid me fare-you-well, Lordy (Where he goin' now?)
""I'm goin' down in Mississippi, gonna give you 'n' Lou'siana hell, Lordy""

Boll weevil said the farmer, ""Think I treat you fair, Lordy"" (How is that, boy?)
""Suck all the blossom and leave you half your square, Lordy""
A-next time I seen you, you know I had your family there, Lordy
The boll weevil neither wife would sit down on the hay, Lordy

Boll weevil told his wife, ""Let's take this forty here, Lordy""
Boll weevil told his wife, said, ""I b'lieve I'll linger long, Lordy"" (Go on, I wanta tell 'em about it)
He left and leavin' Lou'siana, raised and goin' to Arkansas, Lordy
Well, I saw the boll weevil, Lord, a circle, Lordy, in the air, Lordy

Next time I seed him, Lord, he had his family there, Lordy
Boll weevil told the farmer, ""I think I treat you fair, Lordy""
""Sucks all the blossoms and leave you half your square, Lordy""
Boll weevil, boll weevil, where your native home, Lordy?

""'Most anywhere they raise cotton and corn, Lordy""
Boll weevil, boll weevil, call that treatin' me fair, Lordy?
The next time I seed you, you had your family there, Lordy"
1818,TRAPZOH128F92E7FD6.h5,André Verchuren,Un P'Tit Brin De Musette,
1819,TRAUJOU128F9325DE7.h5,Nick Cave & The Bad Seeds,Wings Off Flies (2009 Digital Remaster),"She loves me, she loves me not
She loves me, she loves me not
She loves me, she loves me not
We-e-ll, ah've spent seven days and seven nights
Tryin' to get sunk in this brine
Don't turn on ya water-works
'Cause ah got me a pair of water-wings, right?!


Insects suicide against the window,
And my heart goes out to those lil flies
There's a buzzin in my ear
But it's more of her black-mail, ham shakespeare + lies
Wings off Flies, She loves me, she loves me not.
O o o o oh she loves me not!

Lord, Ah've discovered the recipe of Heaven
Ya git solitude and ya mix with sanctuary and silence,
Then bake it!
Listen, I plead guilty to misanthropy
So hang me! Ah'd appreciate it!
Witness her gate-crash my tiny hell
With some obscene tête-à-tête,
If ya wanna talk to me about Love'n'Pain
Consult my ulcer, it'd be happy to co-operate
Wings off Flies, she loves me, loves me not
Uh hey, Joe! Another outa do the job.

Time to drown our lil fire, ya can keep the ashes,
Now bye bye, bye, bye, see ya in a pigs eye!
Ah will be one, in need of no one
In this, my deepest dive...
Fill'er up, Joe...

Hey! Ah am obliged! Ah am olbiged!
Wings off Flies, She loves me, she loves me not
Wings off Flies etc... ad infinitum

Welcome the solitary flyer ya
See it land on the rim of my glass
It's going around and around and around
Look I just don't have the heart to hurt a fly
I grabbed it in my paw
Snatched it up
And then I held it to my ear could hear it scream
Could hear it scream and scream and scream
Till it screamed not...
Hey Joe, ya know anything about this scream?"
1820,TRAFOKY128F4276D91.h5,Dead Prez,Assassination,"Our people are poor,
And you know damn well nobody wants to be poor
This play is gonna show how the pigs react when the people start
To take community, control over what belongs to them
And liberate it back (echoes)

Sometimes I just don't care

Murderation, modern hanging education
Price of your life is goin' up it ain't inflation
Incrimination, they got my picture at the station
Elimination, state to state we eatin by this nation
Them belly full, my trigger finger got pulled
To cut the bull shots'll warm your flesh like wool
These tools for survival make fools out of rivals
Fuck the Bible, get on your knees and praise my rifle
Your life is done there ain't another place to run
Eat your own gun
Scared because my people never known fun

Cops drive down the streets and blow my friends away
I try to smoke enough lah to take my sins away
This E&amp;J be freein us in it's own special way son
We live for the day, the only way done
The violence in me, reflect the violence that surround me
A truth that's riling
Mr. Charley keep his eye on me
To figure my head, but them ass kissin' niggas is dead
We learn the chokeholds with fishermen's thread
I read The Art of Sun-Tzu in a couple of fuckin' days
Used to practice Kung-Fu with this nigga that's like, double my age
And you can put this on the government's grave
Somebody payin' for the way we have to suffer and slave
Assassination, word up

I hope they get the assassins, I hope that something is done to them
Problem is they're killing them, it reminds me of something like what
Happened to Lincoln

You ain't even safe wit a full clip
I swear on the president's grave
I'm sick of livin' in this bullshit
We down to take it to the full length
Meet us up on Capitol Hill, and we can get up in some real shit

Assassination, *gunshot* yeah"
1821,TRAISSE12903CE77EF.h5,The Gentle Good,Cri'r Adar Main,
1822,TRAKILC128F933EC35.h5,Johnny Otis,Lovers Lane Boogie,
1823,TRADDWO128F9305E06.h5,J. B. Lenoir,I'm in Korea,"Yes I am in Korea
North-east side of Kim-Foy
Yes I am in Korea
North-east side of Kim-Foy
Lord I don't have no idea
I never will see you no more

I'm on a hill called Ten Sixty-Two
Machine guns firing all over my head
I'm on a hill called Ten Sixty-Two
Machine guns firing all over my head
Darling I was thinking about my kids and you
If I die, what you goin' do?

I begin to wonder
Have you forgot just what I said?
I begin to wonder
Have you forgot just what I said?
Don't let nobody lay their head down in my bed"
1824,TRAWZJQ128F92E1314.h5,The Lord Weird Slough Feg,The Spinward Marches,"<span style=""padding:1em""><img alt=""TrebleClef"" class=""lzy lzyPlcHld"" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" data-src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" height=""68"" onload=""if(typeof ImgLzy==='object'){ImgLzy.load(this)}"" src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" width=""30""/><noscript><img alt=""TrebleClef"" class="""" data-image-key=""TrebleClef.png"" data-image-name=""TrebleClef.png"" height=""68"" src=""https://vignette.wikia.nocookie.net/lyricwiki/images/1/1e/TrebleClef.png/revision/latest/scale-to-width-down/30?cb=20090423154754"" width=""30""/></noscript></span> Instrumental"
1825,TRAIHHD128F9324581.h5,The Nelons,Only A Look,
1826,TRAGNGY12903C9CD76.h5,Tantric,Coming Undone,"Well, anywhere I go it's you, I'm not done with you
Tell me what you wanna do, never been afraid of you
Just because you walk around, everyone you're talking down
Don't you even make a sound, I will drop you to the ground

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Come on and get some
Come on and get some

Well, I will intimidate to the point that I'm frustrate
Never seen this side of me, let the anger out of me
Just because I've been reserved, many things you've never heard
Doesn't mean I'm not aware, if you push, I'll take you there

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some

Hey you, better watch with the stare
I see you coming undone
Come on, come on, come on and get some"
1827,TRAGUJK128F42A75C3.h5,Mötley Crüe,Wild Side,"Kneel down ye sinners to
Streetwise religion
Greed's been crowned the new King
Hollywood dream teens
Yesterday's trash queens
Save the blessings for the final ring
Amen!

Take a ride on the wild side
Wild side

I carry my crucifix
Under my deathlist
Forward my mail to me in hell
Liars and the martyrs
Lost faith in The Father
Long lost in the wishing well
Hu!

Take a ride on the wild side
Wild side

Fallen angels so fast to kill
Thy kingdom come on the wild side
Our father who ain't in heaven
Be thy name on the wild side
Holy Mary, mother may I
Pray for us on the wild side
Wild side
Wild side

Name dropping no-names
Glamorize cocaine
Puppets with strings of gold
East L.A. at midnight
Papa won't be home tonight
Found dead with his best friend's wife

Take a ride on the wild side
Wild side

Take a ride on the wild side
Wild side

Gang fights, fatal strikes
We lie on the wild side
No escape, murder, rape
Doin' time on the wild side
A baby cries, a cop dies
A day's pay on the wild side
Wild side
Wild side
Tragic life on the wild side
Wild side
Wild side
Kickin' ass on the wild side"
1828,TRAAPPQ128F14961F5.h5,The B-52's,Wig,"What's that on your head?
A wig
Wig. Wig. Wig

Sally's gotta wig
Ricky's gotta wig
Baby's gotta wig
Kate's gotta wig
Fred's gotta cheap toupee
Keith's gotta big bouffant on
We all got wigs, so... Let's go!

On the neon, neon side of town
On the neon, neon side of town

Julia's gotta wig
Phyllis has a wig
Cindy's gotta wig
J.T's gotta wig
Carol's fall fell
Bubba's gotta big bouffant on
We all got wigs, so... Let's go!

On the neon, neon side of town
On the neon, neon side of town

(Wigtalk)

On the neon, neon side of town
On the neon, neon side of town

What's that on you head?
A wig
Wig. Wig. Wig

Wigs on fire! Wigs on fire! Wigs on... Fire!
It's 2525 and we've got the most wigs alive!

Wigs on fire! Wigs on fire! Take it... Higher!
It's 2525 and we've got the hottest dos alive!

(Wigtalk)"
1829,TRAGNQK12903CCB987.h5,David Tao,Summer Love Triangle,
1830,TRANTID128F9331448.h5,Leon Lai,Ji Yi De Hua Yuan,
1831,TRAFNNT128F92E4E81.h5,Virtuoso,Beautiful Maria of My Soul,
1832,TRAKFLO128F42775B4.h5,Hey Colossus,45 Pounds,
1833,TRAQOPC128F422850C.h5,Frederik,Hur hur murmioon,
1834,TRAHNBF128F93432EC.h5,Doug Sahm Tex Mex Trip,Catch Me In The Morning (Album Version),
1835,TRAZAKG12903CF8157.h5,A Different Breed of Killer,The Cleansing Apparatus,"Legend will tell of a machine who lives to destroy the world of man, with virtue as his cause
Inside is nothing
A barren wasteland
Inside is nothing, but a heart of blackened oil and a self-righteous soul
He is but crank and lever
He is but bolt and clasp
The cogs turn about
Each wheel is locking into place
He is the machine
An abomination! He is the machine
His might shall rectify the sins of all
His might shall rectify the sins of all transgressors
Unseating those who oppose his judgment
His indignation boils with such virulence that all shall yield to him! All shall yield to him
He is the end
He comes for blood!"
1836,TRADUDB128F42A61F9.h5,Galactic,Squarebiz,
1837,TRAVQUU128F92FA4E0.h5,Marc Broussard,Going Home (Album Version),"Wake up, crossed another state line
Fed up, a hundred million miles to drive
Yeah...
I hope you'll be waitin at the door
With open arms, like you did before
So carry me free

You know I was born to roam
I need you to help me along
And I'm driving all night going home

Tell me, Tell me that you'll always be true
Keep me going, tell me what to do
To get back to you

You know I was born to roam
I need you to help me along
And I'm driving all night going home
Going home"
1838,TRADKGW12903CC8CB9.h5,Edmundo Ros,The Wedding Samba,
1839,TRABLRO128F92EDF9C.h5,The Cosmosamatics,12 Seasons of Love,
1840,TRAGGSG128F92F6FD9.h5,Sulk,Only You (Chimi-Changa Club Mix),
1841,TRAZSZD128F424AA49.h5,Chaotica,Hypergasm,Hypergasm is the jolt that makes you jump!
1842,TRAGUPV128F93354DE.h5,SOL,Puedes ser feliz,
1843,TRARUHU128F92FDC00.h5,Spoonie Gee,Spoonie Is Back,
1844,TRATWQQ128F426F1EC.h5,María,Cuenta Conmigo,
1845,TRAXUHM128E078900C.h5,N.E.R.D.,Don't Worry About It (Edited),"It's that dark skin,
It's your juicy lips girl,
She's bad bad bad ass
She's bad bad bad ass
She's bad bad bad ass
She's bad bad bad ass

I've been all around the earth
All those girls that kiss me first
But you just stand there with a smirk
But don't you worry about it

So baby don't fool with me
If ya don't wanna give it up
Don't worry about it

I just wanna feel your
You just wanna feel my
We should just go feel our
Imagine aw fuck it
Don't worry about it

Baby don't fool with me
If ya don't wanna give it up
Don't worry about it
Baby, don't fool with me
If ya don't wanna give it up
Don't worry about it

Baby look at your girl starring at me
And her girl in the next seat
They want more but now I get three
I said baby don't fool with me
If ya don't wanna give it up
Don't worry about it

Chocolate flower

See I know I got those other girls
But I wanna learn from you
There's a world going on outside
No men are safe from
And I'm not trying to lose
I need you
They say damn pharrell
You have a cold heart will you move
So when it comes to a girl like you
That moves me
What am I s'pposed to do
But admit it
Your your bad ass
Your your bad ass
Come on sing it with me
She's bad bad bad ass x8"
1846,TRADBXG12903CBDEC5.h5,Pyranja,Nordcore,
1847,TRAWSIV128F92FA32B.h5,Mick Moloney,Medley,
1848,TRAYYCY12903CBC3F2.h5,Doug MacLeod,Take Your Leave Of Me Baby,
1849,TRAKVSG128EF34E609.h5,Raphaël,La Mémoire Des Jours,"Mais il est un peu tard
Ote toi du chemin
Vagabond contre moi
Je vais la retrouver
Quelque part je la vois
Qui me touche la main
Y'a-t-il quelqu'un ?

Reponds
Reponds

Bien sur je l'aime encore
Dans ce taudis vivant
Mais il est un peu tard
Ou ces maudits vivants
Dans nos jambes nous genent
Approche que je te voie
C'etait toi, c'etait toi
Encore je m'en souviens
Qu'avons-nous eu depuis des jours
Des jours et la memoire des jours
Des jours et la memoire des jours

Dormons dormons dormons

Mais la chaleur est là
Mais la chaleur est là
Allons plus loin la-bas
Sous l'ombre de nos pas
Qui continuent sans nous
C'etait elle c'etait moi
C'etait elle à mon cou
Et nous ne savions pas

Qu'avons-nous eu depuis des jours
Des jours et la memoire des jours
Des jours et la memoire

Dormons dormons dormons"
1850,TRAPTVO128F14661D2.h5,Raze,The Plan (The Plan Album Version),
1851,TRAGXNT12903CEB1B9.h5,Little Milton,My Way,
1852,TRAEUYY128F9311B94.h5,Hollywood Bowl Orchestra / John Mauceri,John Dunbar Theme [Dances with Wolves],
1853,TRAJLRX128F4271A2C.h5,Gary Hobbs,Soñando En Ti,
1854,TRAETTV12903CBBD09.h5,Jimi Hendrix,Voodoo Chile Blues,"I'm a voodoo chile
Lord I'm a voodoo chile
Yeah
I'm not sayin'

The night I was born
Lord, the moon turned a fire red
I said the night I was born
The moon turned a fire red

My poor mother cried
She said ""the gypsy was right""
And I she fell right dead
Right on the floor there
Hey

And I said fly on
Fly on because I'm a voodoo chile, baby
Voodoo chile"
1855,TRATEMP128E0788535.h5,Sun Yan-Zi,Abscondence,
1856,TRAAQIH128F428BDEA.h5,Busdriver,(Bloody Paw On The) Kill Floor,"Buy now, I kill for a living
Buy now, I kill for a living...

I'm fitted for a heat-resistant sleeve
Keep your distance please
Your persona's in question my phosphorescent skin
Makes your heat pistons freeze
I'm a hallucinogen pez-dispenser, led ventures
With a group of umpla-lumpa parachute troopers
Who discredit theories and behead your mentors
Who can radio wave windsurf to invert what is common knowledge
I will insert my solemn promise to style until my limbs burst
Negotiate with marketing consultants, giving me the once-over
Wearing grim smirks
They would like me to convert my gritty edge
To unearth my earning potential
But my face is so sun burnt
Due to all the grassroots grunt work
That I won't be co-opted
And every photo-op needs to be photoshopped cropped and snipped
But I'm a street vendor kinds sir
This style-free is dopamine
It's a meat tenderizer at the gallery opening

You can join my suicide cult
Membership is free
Take these cyanide eye-drops
And peppermint hemlock
This is what you have been billed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score
This is what you have been killed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score

Contrast bohemia to my workplace
When I'm racing in carpool lane
To sell shit to an art school lame
-Don't you think you're hot shit
Well what do you have to offer-
A dead archetype able to be purchased on a credit card swipe
But they can they pinpoint and nail
My distance between art and commerce
With just an invoice of a sale
I will disappoint an ail
Those who want to deny us the majority rule
When a will jump in my primordial pool
Without knowing where their swim trunks were
But not everyone knows
What they're called on to encumber
You can't know by just logging on with a pin number
Buy now
You pasty Brits
Buy now
You crazy chicks
Buy
'Cause I don't pay attention to rules,
Regulations or safety tips
Love us
Eligible bachelors
Love us
'Cause we're the Blowed rappers
Loved
'Cause I tour the country so much
I can do it blindfolded with no road atlas
Unrelated to your three-legged
Preachy bootleggers will do away with you
CD duplicators make vegans
Do the salad bar swing-pivot
Wave your valid parking tickets
At the endangered sea-urchin
Tell me the name of your political activist key person
And I'll tell you what's under the blips of the clean version
Of the infamous rap rant
Trickling down the baggy pant leg
Of this unhappy class aid
Covered in shell fragments of this
Graffiti tagged glass egg
I can sell anything to a hip-hopper
Like it's my cathartic something
But I don't make enough to go apartment hunting

You can dance to death
And for no extra charge
Give me your debit card
So you can have sex with stars
This is what you have been billed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score
This is what you have been billed for
Dancing on the kill floor
To vibrant woofer, clients butchered to a film score
...
Buy now,
I kill for a living
Buy now,
I kill for a living..."
1857,TRAPWTX128F428FE47.h5,Nick Ingman,"The Marquis and the Scaffold (From ""Quills"")",
1858,TRAHTHN128F93309DB.h5,Forensics,Boat Day At the Marina,"If we were raised as vultures, I'd touch my wings to light up the sky.
My span ablaze, scorch the night.
Can you feel this?
Can you feel?
To the howling wolves...
To these birds of prey...
I can't kill for you.
And I won't die for this.
Resist. Resist what they profess.
Protest. Protest until they confess."
